"genus","condition","avg_abundance"
"Amycolatopsis","b",0.0222222222222222
"Anabaena","a",0.0555555555555556
"Anabaena","b",0.0222222222222222
"Anaeroarcus","a",0.733333333333333
"Anaeroarcus","b",0.866666666666667
"Anaerobiospirillum","a",2
"Anaerobiospirillum","b",1.3
"Anaerobium","a",22.6
"Anaerobium","b",21.3333333333333
"Anaerobranca","a",0.3
"Anaerobranca","b",0.166666666666667
"Anaerococcus","a",0.3
"Anaerococcus","b",0.212121212121212
"Anaerocolumna","a",0.1
"Anaerocolumna","b",0.0666666666666667
"Anaerofustis","a",2.93333333333333
"Anaerofustis","b",3.43333333333333
"Anaeroglobus","a",0.466666666666667
"Anaeroglobus","b",0.933333333333333
"Anaerolinea","a",0.433333333333333
"Anaerolinea","b",0.483333333333333
"Anaeromusa","a",1.23333333333333
"Anaeromusa","b",1.16666666666667
"Anaeromyxobacter","a",0.1
"Anaeromyxobacter","b",0.05
"Anaerophaga","a",0.666666666666667
"Anaerophaga","b",0.366666666666667
"Anaerosalibacter","a",2.86666666666667
"Anaerosalibacter","b",2.06666666666667
"Anaerosporomusa","a",2.3
"Anaerosporomusa","b",2.33333333333333
"Anaerostipes","a",36.1666666666667
"Anaerostipes","b",38.9666666666667
"Anaerotruncus","a",54.45
"Anaerotruncus","b",60.4333333333333
"Anaerovibrio","a",2.83333333333333
"Anaerovibrio","b",1.51666666666667
"Anaerovorax","a",7.36666666666667
"Anaerovorax","b",6.86666666666667
"Anditalea","a",0.4
"Anditalea","b",0.3
"Aneurinibacillus","a",0.377777777777778
"Aneurinibacillus","b",0.25
"Anncaliia","a",0.133333333333333
"Anncaliia","b",0.133333333333333
"Anoxybacillus","a",0.183333333333333
"Anoxybacillus","b",0.0666666666666667
"Aphanizomenon","a",0.133333333333333
"Aphanizomenon","b",0.0333333333333333
"Apibacter","a",0.6
"Apibacter","b",0.233333333333333
"Aquimarina","a",0.304166666666667
"Aquimarina","b",0.2125
"Aquitalea","a",0.05
"Aquitalea","b",0
"Arachidicoccus","a",0.366666666666667
"Arachidicoccus","b",0.133333333333333
"Arcanobacterium","a",0
"Arcanobacterium","b",0.0333333333333333
"Archangium","a",0.0666666666666667
"Archangium","b",0
"Arcobacter","a",0.244444444444444
"Arcobacter","b",0.183333333333333
"Arcticibacter","a",0.233333333333333
"Arcticibacter","b",0.183333333333333
"Ardenticatena","a",0.0666666666666667
"Ardenticatena","b",0.0333333333333333
"Arenibacter","a",0.108333333333333
"Arenibacter","b",0.1
"Arhodomonas","a",0.0666666666666667
"Arhodomonas","b",0.0333333333333333
"Arthrobacter","a",0.154166666666667
