"tax_asd","condition","patient_id","abundance"
"g__Clostridium;s__uncultured Clostridium sp.","b","152",2746
"g__Clostridium;s__uncultured Clostridium sp.","b","156",3808
"g__Clostridium;s__uncultured Clostridium sp.","b","158",3856
"g__Clostridium;s__uncultured Clostridium sp.","b","164",3211
"g__Butyricimonas;s__Butyricimonas virosa","b","1",1624
"g__Butyricimonas;s__Butyricimonas virosa","b","2",1
"g__Butyricimonas;s__Butyricimonas virosa","b","3",703
"g__Butyricimonas;s__Butyricimonas virosa","b","5",43
"g__Butyricimonas;s__Butyricimonas virosa","b","6",46
"g__Butyricimonas;s__Butyricimonas virosa","b","7",1505
"g__Butyricimonas;s__Butyricimonas virosa","b","8",32
"g__Butyricimonas;s__Butyricimonas virosa","b","13",1474
"g__Butyricimonas;s__Butyricimonas virosa","b","14",2
"g__Butyricimonas;s__Butyricimonas virosa","b","28",52
"g__Butyricimonas;s__Butyricimonas virosa","b","29",4
"g__Butyricimonas;s__Butyricimonas virosa","b","36",5
"g__Butyricimonas;s__Butyricimonas virosa","b","37",43
"g__Butyricimonas;s__Butyricimonas virosa","b","94",1449
"g__Butyricimonas;s__Butyricimonas virosa","b","99",5
"g__Butyricimonas;s__Butyricimonas virosa","b","103",36
"g__Butyricimonas;s__Butyricimonas virosa","b","106",34
"g__Butyricimonas;s__Butyricimonas virosa","b","111",37
"g__Butyricimonas;s__Butyricimonas virosa","b","114",113
"g__Butyricimonas;s__Butyricimonas virosa","b","115",46
"g__Butyricimonas;s__Butyricimonas virosa","b","120",2065
"g__Butyricimonas;s__Butyricimonas virosa","b","127",21
"g__Butyricimonas;s__Butyricimonas virosa","b","132",27
"g__Butyricimonas;s__Butyricimonas virosa","b","141",55
"g__Butyricimonas;s__Butyricimonas virosa","b","142",35
"g__Butyricimonas;s__Butyricimonas virosa","b","143",8
"g__Butyricimonas;s__Butyricimonas virosa","b","152",884
"g__Butyricimonas;s__Butyricimonas virosa","b","156",13
"g__Butyricimonas;s__Butyricimonas virosa","b","158",3
"g__Butyricimonas;s__Butyricimonas virosa","b","164",218
"g__Alistipes;s__Alistipes indistinctus","b","1",2452
"g__Alistipes;s__Alistipes indistinctus","b","2",3
"g__Alistipes;s__Alistipes indistinctus","b","3",819
"g__Alistipes;s__Alistipes indistinctus","b","5",2761
"g__Alistipes;s__Alistipes indistinctus","b","6",691
"g__Alistipes;s__Alistipes indistinctus","b","7",2768
"g__Alistipes;s__Alistipes indistinctus","b","8",25
"g__Alistipes;s__Alistipes indistinctus","b","13",1095
"g__Alistipes;s__Alistipes indistinctus","b","14",13
"g__Alistipes;s__Alistipes indistinctus","b","28",4
"g__Alistipes;s__Alistipes indistinctus","b","29",4
"g__Alistipes;s__Alistipes indistinctus","b","36",6
"g__Alistipes;s__Alistipes indistinctus","b","37",356
"g__Alistipes;s__Alistipes indistinctus","b","94",2380
"g__Alistipes;s__Alistipes indistinctus","b","99",23
"g__Alistipes;s__Alistipes indistinctus","b","103",3089
"g__Alistipes;s__Alistipes indistinctus","b","106",33
"g__Alistipes;s__Alistipes indistinctus","b","111",2052
"g__Alistipes;s__Alistipes indistinctus","b","114",2801
"g__Alistipes;s__Alistipes indistinctus","b","115",2
"g__Alistipes;s__Alistipes indistinctus","b","120",90
"g__Alistipes;s__Alistipes indistinctus","b","127",22
"g__Alistipes;s__Alistipes indistinctus","b","132",30
"g__Alistipes;s__Alistipes indistinctus","b","141",1027
"g__Alistipes;s__Alistipes indistinctus","b","142",2641
"g__Alistipes;s__Alistipes indistinctus","b","143",4
"g__Alistipes;s__Alistipes indistinctus","b","152",1587
"g__Alistipes;s__Alistipes indistinctus","b","156",2223
"g__Alistipes;s__Alistipes indistinctus","b","158",6
"g__Alistipes;s__Alistipes indistinctus","b","164",1473
"g__Clostridium;s__Clostridium sp. CAG:7","b","1",1358
"g__Clostridium;s__Clostridium sp. CAG:7","b","2",1850
"g__Clostridium;s__Clostridium sp. CAG:7","b","3",1504
"g__Clostridium;s__Clostridium sp. CAG:7","b","5",1566
"g__Clostridium;s__Clostridium sp. CAG:7","b","6",1831
"g__Clostridium;s__Clostridium sp. CAG:7","b","7",643
"g__Clostridium;s__Clostridium sp. CAG:7","b","8",2117
"g__Clostridium;s__Clostridium sp. CAG:7","b","13",1581
"g__Clostridium;s__Clostridium sp. CAG:7","b","14",1229
"g__Clostridium;s__Clostridium sp. CAG:7","b","28",2649
"g__Clostridium;s__Clostridium sp. CAG:7","b","29",1284
"g__Clostridium;s__Clostridium sp. CAG:7","b","36",818
"g__Clostridium;s__Clostridium sp. CAG:7","b","37",1451
"g__Clostridium;s__Clostridium sp. CAG:7","b","94",1999
"g__Clostridium;s__Clostridium sp. CAG:7","b","99",108
"g__Clostridium;s__Clostridium sp. CAG:7","b","103",2361
"g__Clostridium;s__Clostridium sp. CAG:7","b","106",2246
"g__Clostridium;s__Clostridium sp. CAG:7","b","111",1839
"g__Clostridium;s__Clostridium sp. CAG:7","b","114",1769
"g__Clostridium;s__Clostridium sp. CAG:7","b","115",2045
"g__Clostridium;s__Clostridium sp. CAG:7","b","120",2475
"g__Clostridium;s__Clostridium sp. CAG:7","b","127",1649
"g__Clostridium;s__Clostridium sp. CAG:7","b","132",2018
"g__Clostridium;s__Clostridium sp. CAG:7","b","141",1999
"g__Clostridium;s__Clostridium sp. CAG:7","b","142",2027
"g__Clostridium;s__Clostridium sp. CAG:7","b","143",180
"g__Clostridium;s__Clostridium sp. CAG:7","b","152",2134
"g__Clostridium;s__Clostridium sp. CAG:7","b","156",1134
"g__Clostridium;s__Clostridium sp. CAG:7","b","158",1487
"g__Clostridium;s__Clostridium sp. CAG:7","b","164",1797
"g__Lachnoclostridium;s__[Clostridium] asparagiforme","b","1",145
"g__Lachnoclostridium;s__[Clostridium] asparagiforme","b","2",2524
"g__Lachnoclostridium;s__[Clostridium] asparagiforme","b","3",2208
"g__Lachnoclostridium;s__[Clostridium] asparagiforme","b","5",453
"g__Lachnoclostridium;s__[Clostridium] asparagiforme","b","6",236
"g__Lachnoclostridium;s__[Clostridium] asparagiforme","b","7",2670
