"genus","sample_id","abundance"
"Butyricimonas","B106",34
"Butyricimonas","B111",37
"Butyricimonas","B114",113
"Butyricimonas","B115",46
"Butyricimonas","B120",2065
"Butyricimonas","B127",21
"Butyricimonas","B132",27
"Butyricimonas","B141",55
"Butyricimonas","B142",35
"Butyricimonas","B143",8
"Butyricimonas","B152",884
"Butyricimonas","B156",13
"Butyricimonas","B158",3
"Butyricimonas","B164",218
"Alistipes","A3",15
"Alistipes","A5",20
"Alistipes","A6",723
"Alistipes","A9",620
"Alistipes","A31",3261
"Alistipes","A51",43
"Alistipes","A52",83
"Alistipes","A53",37
"Alistipes","A54",43
"Alistipes","A59",1114
"Alistipes","A67",2531
"Alistipes","A68",207
"Alistipes","A69",59
"Alistipes","A71",50
"Alistipes","A73",55
"Alistipes","A76",1194
"Alistipes","A78",68
"Alistipes","A87",49
"Alistipes","A89",979
"Alistipes","A93",10
"Alistipes","A101",3159
"Alistipes","A109",61
"Alistipes","A113",2606
"Alistipes","A114",2821
"Alistipes","A115",21
"Alistipes","A142",2276
"Alistipes","A144",3
"Alistipes","A149",34
"Alistipes","A164",2681
"Alistipes","A165",2103
"Alistipes","B1",2452
"Alistipes","B2",3
"Alistipes","B3",819
"Alistipes","B5",2761
"Alistipes","B6",691
"Alistipes","B7",2768
"Alistipes","B8",25
"Alistipes","B13",1095
"Alistipes","B14",13
"Alistipes","B28",4
"Alistipes","B29",4
"Alistipes","B36",6
"Alistipes","B37",356
"Alistipes","B94",2380
"Alistipes","B99",23
"Alistipes","B103",3089
"Alistipes","B106",33
"Alistipes","B111",2052
"Alistipes","B114",2801
"Alistipes","B115",2
"Alistipes","B120",90
"Alistipes","B127",22
"Alistipes","B132",30
"Alistipes","B141",1027
"Alistipes","B142",2641
"Alistipes","B143",4
"Alistipes","B152",1587
"Alistipes","B156",2223
"Alistipes","B158",6
"Alistipes","B164",1473
"Clostridium","A3",2119
"Clostridium","A5",1230
"Clostridium","A6",1322
"Clostridium","A9",2675
"Clostridium","A31",1470
"Clostridium","A51",2262
"Clostridium","A52",2984
"Clostridium","A53",2004
"Clostridium","A54",1904
"Clostridium","A59",1227
"Clostridium","A67",821
"Clostridium","A68",1420
"Clostridium","A69",167
"Clostridium","A71",1696
"Clostridium","A73",1389
"Clostridium","A76",1192
"Clostridium","A78",1772
"Clostridium","A87",1807
"Clostridium","A89",144
"Clostridium","A93",1291
"Clostridium","A101",1876
"Clostridium","A109",245
"Clostridium","A113",1945
"Clostridium","A114",2036
"Clostridium","A115",1489
"Clostridium","A142",1754
"Clostridium","A144",1556
"Clostridium","A149",2035
"Clostridium","A164",2370
"Clostridium","A165",2136
"Clostridium","B1",1358
"Clostridium","B2",1850
"Clostridium","B3",1504
"Clostridium","B5",1566
"Clostridium","B6",1831
"Clostridium","B7",643
"Clostridium","B8",2117
"Clostridium","B13",1581
"Clostridium","B14",1229
"Clostridium","B28",2649
"Clostridium","B29",1284
"Clostridium","B36",818
"Clostridium","B37",1451
"Clostridium","B94",1999
"Clostridium","B99",108
"Clostridium","B103",2361
"Clostridium","B106",2246
"Clostridium","B111",1839
"Clostridium","B114",1769
"Clostridium","B115",2045
"Clostridium","B120",2475
"Clostridium","B127",1649
"Clostridium","B132",2018
"Clostridium","B141",1999
"Clostridium","B142",2027
"Clostridium","B143",180
"Clostridium","B152",2134
"Clostridium","B156",1134
"Clostridium","B158",1487
"Clostridium","B164",1797
"Lachnoclostridium","A3",453
"Lachnoclostridium","A5",691
"Lachnoclostridium","A6",2278
"Lachnoclostridium","A9",107
"Lachnoclostridium","A31",342
"Lachnoclostridium","A51",1304
"Lachnoclostridium","A52",1400
"Lachnoclostridium","A53",1207
"Lachnoclostridium","A54",2034
"Lachnoclostridium","A59",2051
"Lachnoclostridium","A67",20
"Lachnoclostridium","A68",105
"Lachnoclostridium","A69",752
"Lachnoclostridium","A71",527
"Lachnoclostridium","A73",478
"Lachnoclostridium","A76",423
"Lachnoclostridium","A78",260
"Lachnoclostridium","A87",2534
"Lachnoclostridium","A89",1611
"Lachnoclostridium","A93",2758
"Lachnoclostridium","A101",438
"Lachnoclostridium","A109",1595
"Lachnoclostridium","A113",2038
"Lachnoclostridium","A114",747
"Lachnoclostridium","A115",1336
"Lachnoclostridium","A142",646
"Lachnoclostridium","A144",909
"Lachnoclostridium","A149",227
"Lachnoclostridium","A164",402
"Lachnoclostridium","A165",539
"Lachnoclostridium","B1",145
"Lachnoclostridium","B2",2524
"Lachnoclostridium","B3",2208
"Lachnoclostridium","B5",453
"Lachnoclostridium","B6",236
"Lachnoclostridium","B7",2670
"Lachnoclostridium","B8",1656
"Lachnoclostridium","B13",2566
"Lachnoclostridium","B14",128
"Lachnoclostridium","B28",46
"Lachnoclostridium","B29",2564
"Lachnoclostridium","B36",1438
"Lachnoclostridium","B37",2142
"Lachnoclostridium","B94",323
"Lachnoclostridium","B99",563
"Lachnoclostridium","B103",776
"Lachnoclostridium","B106",437
"Lachnoclostridium","B111",475
"Lachnoclostridium","B114",1537
"Lachnoclostridium","B115",580
"Lachnoclostridium","B120",1555
"Lachnoclostridium","B127",554
"Lachnoclostridium","B132",389
"Lachnoclostridium","B141",548
"Lachnoclostridium","B142",1815
"Lachnoclostridium","B143",1508
"Lachnoclostridium","B152",1169
"Lachnoclostridium","B156",321
"Lachnoclostridium","B158",2169
"Lachnoclostridium","B164",159
"Butyricicoccus","A3",1266
"Butyricicoccus","A5",1682
"Butyricicoccus","A6",43
"Butyricicoccus","A9",1726
"Butyricicoccus","A31",1804
"Butyricicoccus","A51",1441
"Butyricicoccus","A52",2691
"Butyricicoccus","A53",1886
"Butyricicoccus","A54",919
"Butyricicoccus","A59",2215
"Butyricicoccus","A67",1063
"Butyricicoccus","A68",1765
"Butyricicoccus","A69",146
"Butyricicoccus","A71",2171
"Butyricicoccus","A73",1679
"Butyricicoccus","A76",948
"Butyricicoccus","A78",632
"Butyricicoccus","A87",1231
"Butyricicoccus","A89",1110
"Butyricicoccus","A93",1317
"Butyricicoccus","A101",2153
"Butyricicoccus","A109",82
"Butyricicoccus","A113",1116
"Butyricicoccus","A114",2065
"Butyricicoccus","A115",1033
"Butyricicoccus","A142",1169
"Butyricicoccus","A144",1583
"Butyricicoccus","A149",1016
"Butyricicoccus","A164",1592
"Butyricicoccus","A165",1051
"Butyricicoccus","B1",1949
"Butyricicoccus","B2",1858
"Butyricicoccus","B3",2209
"Butyricicoccus","B5",1979
"Butyricicoccus","B6",2451
"Butyricicoccus","B7",750
"Butyricicoccus","B8",1563
"Butyricicoccus","B13",2502
"Butyricicoccus","B14",1262
"Butyricicoccus","B28",1989
"Butyricicoccus","B29",1146
"Butyricicoccus","B36",2241
"Butyricicoccus","B37",1341
"Butyricicoccus","B94",1038
"Butyricicoccus","B99",572
"Butyricicoccus","B103",1756
"Butyricicoccus","B106",727
"Butyricicoccus","B111",653
"Butyricicoccus","B114",2117
"Butyricicoccus","B115",1132
"Butyricicoccus","B120",1099
"Butyricicoccus","B127",2072
"Butyricicoccus","B132",1868
"Butyricicoccus","B141",1853
"Butyricicoccus","B142",2277
"Butyricicoccus","B143",1069
"Butyricicoccus","B152",1226
"Butyricicoccus","B156",1601
"Butyricicoccus","B158",839
"Butyricicoccus","B164",1278
"Oscillibacter","A3",524
"Oscillibacter","A5",2018
