"genus","sample_id","abundance"
"Oscillibacter","A6",101
"Oscillibacter","A9",2023
"Oscillibacter","A31",415
"Oscillibacter","A51",292
"Oscillibacter","A52",200
"Oscillibacter","A53",1226
"Oscillibacter","A54",394
"Oscillibacter","A59",1566
"Oscillibacter","A67",66
"Oscillibacter","A68",124
"Oscillibacter","A69",157
"Oscillibacter","A71",1610
"Oscillibacter","A73",113
"Oscillibacter","A76",1164
"Oscillibacter","A78",1114
"Oscillibacter","A87",116
"Oscillibacter","A89",152
"Oscillibacter","A93",237
"Oscillibacter","A101",1321
"Oscillibacter","A109",165
"Oscillibacter","A113",1032
"Oscillibacter","A114",2498
"Oscillibacter","A115",79
"Oscillibacter","A142",1569
"Oscillibacter","A144",1230
"Oscillibacter","A149",1202
"Oscillibacter","A164",1396
"Oscillibacter","A165",1491
"Oscillibacter","B1",1109
"Oscillibacter","B2",284
"Oscillibacter","B3",193
"Oscillibacter","B5",1515
"Oscillibacter","B6",260
"Oscillibacter","B7",1052
"Oscillibacter","B8",1356
"Oscillibacter","B13",777
"Oscillibacter","B14",67
"Oscillibacter","B28",123
"Oscillibacter","B29",97
"Oscillibacter","B36",86
"Oscillibacter","B37",92
"Oscillibacter","B94",140
"Oscillibacter","B99",108
"Oscillibacter","B103",1457
"Oscillibacter","B106",313
"Oscillibacter","B111",1378
"Oscillibacter","B114",1364
"Oscillibacter","B115",1274
"Oscillibacter","B120",1949
"Oscillibacter","B127",1420
"Oscillibacter","B132",1444
"Oscillibacter","B141",265
"Oscillibacter","B142",179
"Oscillibacter","B143",52
"Oscillibacter","B152",539
"Oscillibacter","B156",1257
"Oscillibacter","B158",94
"Oscillibacter","B164",732
"Desulfovibrio","A3",7
"Desulfovibrio","A5",714
"Desulfovibrio","A6",19
"Desulfovibrio","A9",150
"Desulfovibrio","A31",17
"Desulfovibrio","A51",11
"Desulfovibrio","A52",8
"Desulfovibrio","A53",10
"Desulfovibrio","A54",3
"Desulfovibrio","A59",1
"Desulfovibrio","A67",11
"Desulfovibrio","A68",14
"Desulfovibrio","A69",7
"Desulfovibrio","A71",2114
"Desulfovibrio","A73",3
"Desulfovibrio","A76",8
"Desulfovibrio","A78",6
"Desulfovibrio","A87",52
"Desulfovibrio","A89",5
"Desulfovibrio","A101",17
"Desulfovibrio","A109",1
"Desulfovibrio","A113",20
