"tax_td","condition","patient_id","abundance"
"g__Clostridium;s__uncultured Clostridium sp.","a","144",4020
"g__Clostridium;s__uncultured Clostridium sp.","a","149",3511
"g__Clostridium;s__uncultured Clostridium sp.","a","164",4328
"g__Clostridium;s__uncultured Clostridium sp.","a","165",3906
"g__Butyricimonas;s__Butyricimonas virosa","a","3",64
"g__Butyricimonas;s__Butyricimonas virosa","a","5",1385
"g__Butyricimonas;s__Butyricimonas virosa","a","6",725
"g__Butyricimonas;s__Butyricimonas virosa","a","9",1553
"g__Butyricimonas;s__Butyricimonas virosa","a","31",40
"g__Butyricimonas;s__Butyricimonas virosa","a","51",53
"g__Butyricimonas;s__Butyricimonas virosa","a","52",33
"g__Butyricimonas;s__Butyricimonas virosa","a","53",175
"g__Butyricimonas;s__Butyricimonas virosa","a","54",58
"g__Butyricimonas;s__Butyricimonas virosa","a","59",1636
"g__Butyricimonas;s__Butyricimonas virosa","a","67",1170
"g__Butyricimonas;s__Butyricimonas virosa","a","68",80
"g__Butyricimonas;s__Butyricimonas virosa","a","69",59
"g__Butyricimonas;s__Butyricimonas virosa","a","71",77
"g__Butyricimonas;s__Butyricimonas virosa","a","73",1364
"g__Butyricimonas;s__Butyricimonas virosa","a","76",67
"g__Butyricimonas;s__Butyricimonas virosa","a","78",63
"g__Butyricimonas;s__Butyricimonas virosa","a","87",7
"g__Butyricimonas;s__Butyricimonas virosa","a","89",999
"g__Butyricimonas;s__Butyricimonas virosa","a","93",39
"g__Butyricimonas;s__Butyricimonas virosa","a","101",3285
"g__Butyricimonas;s__Butyricimonas virosa","a","109",30
"g__Butyricimonas;s__Butyricimonas virosa","a","113",54
"g__Butyricimonas;s__Butyricimonas virosa","a","114",1168
"g__Butyricimonas;s__Butyricimonas virosa","a","115",50
"g__Butyricimonas;s__Butyricimonas virosa","a","142",38
"g__Butyricimonas;s__Butyricimonas virosa","a","144",49
"g__Butyricimonas;s__Butyricimonas virosa","a","149",27
"g__Butyricimonas;s__Butyricimonas virosa","a","164",1685
"g__Butyricimonas;s__Butyricimonas virosa","a","165",838
"g__Alistipes;s__Alistipes indistinctus","a","3",15
"g__Alistipes;s__Alistipes indistinctus","a","5",20
"g__Alistipes;s__Alistipes indistinctus","a","6",723
"g__Alistipes;s__Alistipes indistinctus","a","9",620
"g__Alistipes;s__Alistipes indistinctus","a","31",3261
"g__Alistipes;s__Alistipes indistinctus","a","51",43
"g__Alistipes;s__Alistipes indistinctus","a","52",83
"g__Alistipes;s__Alistipes indistinctus","a","53",37
"g__Alistipes;s__Alistipes indistinctus","a","54",43
"g__Alistipes;s__Alistipes indistinctus","a","59",1114
"g__Alistipes;s__Alistipes indistinctus","a","67",2531
"g__Alistipes;s__Alistipes indistinctus","a","68",207
"g__Alistipes;s__Alistipes indistinctus","a","69",59
"g__Alistipes;s__Alistipes indistinctus","a","71",50
"g__Alistipes;s__Alistipes indistinctus","a","73",55
"g__Alistipes;s__Alistipes indistinctus","a","76",1194
"g__Alistipes;s__Alistipes indistinctus","a","78",68
"g__Alistipes;s__Alistipes indistinctus","a","87",49
